Time,Angle
1724780988.0145104,0.51086426
1724780988.1146958,0.51086426
1724780988.2148728,0.51086426
1724780988.315015,0.51086426
1724780988.4151504,0.51086426
1724780988.515287,0.51086426
1724780988.6154242,0.51086426
1724780988.71556,0.51086426
1724780988.8156986,0.51086426
1724780988.9158344,0.51086426
1724780989.0159724,0.51086426
1724780989.1161094,0.51086426
1724780989.2162485,0.51086426
1724780989.316386,0.51086426
1724780989.4165237,0.51086426
1724780989.5166693,0.51086426
1724780989.6168032,0.51086426
1724780989.7169461,0.51086426
1724780989.8170898,0.51086426
1724780989.917246,0.51086426
1724780990.017385,0.51086426
1724780990.11752,0.51086426
1724780990.2176597,0.51086426
1724780990.3177984,0.51086426
1724780990.417938,0.51086426
