Time,Angle_paka,Angle_kolo
0.0009,0.0,0.52185059
0.1011,0.0,0.52185059
0.2013,0.0,0.52185059
0.3015,0.0,0.52185059
0.4017,0.0,0.52185059
0.5018,0.0,0.52185059
0.602,0.0,0.52185059
0.7021,0.0,0.52185059
0.8023,0.0,0.52185059
0.9024,0.0,0.52185059
1.0026,0.0,0.52185059
1.1028,0.0,0.52185059
1.203,0.0,0.52185059
1.3032,0.0,0.52185059
1.4034,0.0,0.52185059
1.504,0.0,0.52185059
1.6042,0.0,0.52185059
